t,f
426.0, 1.9888956856198847
427.0, 1.9983516524632554
428.0, 2.0077983972274356
429.0, 2.017235829903419
430.0, 2.0266638605099367
431.0, 2.0360823991022716
432.0, 2.0454913557810315
433.0, 2.054890640700872
434.0, 2.0642801640791624
435.0, 2.0736598362045977
436.0, 2.083029567445768
437.0, 2.0923892682596477
438.0, 2.1017388492000606
439.0, 2.1110782209260543
440.0, 2.12040729163692
441.0, 1.9796106141270242
442.0, 1.8481212285249924
443.0, 1.7255017258084915
444.0, 1.6113167765307315
445.0, 1.5051363903705985
446.0, 1.406538566418651
447.0, 1.3151114177143939
448.0, 1.2304548434574811
449.0, 1.152181813359688
450.0, 1.079919320663268
451.0, 1.0133090533151368
452.0, 0.9520078265570122
453.0, 0.8956878146813505
454.0, 0.844036614833016
455.0, 0.7967571714366604
456.0, 0.7535675860369663
457.0, 0.7142008339968556
458.0, 0.6784044065573082
459.0, 0.6459398941765786
460.0, 0.6165825247964051
461.0, 0.5901206686923046
462.0, 0.5663553198225554
463.0, 0.5450995620673491
464.0, 0.5261780274206491
465.0, 0.509426352039856
466.0, 0.4946906350524085
467.0, 0.48182690414608303
468.0, 0.4707005912150491
469.0, 0.4611860206826696
470.0, 0.45316591256195704
471.0, 0.4465309018345212
472.0, 0.4411790753188077
473.0, 0.437015526849731
474.0, 0.4339519312967488
475.0, 0.43190613769913794
476.0, 0.4308017815896718
477.0, 0.4305679164057458
478.0, 0.4311386637455543
479.0, 0.4324528821119955
480.0, 0.4344538536950327
481.0, 0.4370889886708821
482.0, 0.4403095464410449
483.0, 0.44407037319317244
484.0, 0.44832965513704875
485.0, 0.4530486867505928
486.0, 0.4581916533611627
487.0, 0.46372542738511713
488.0, 0.4696193775522696
489.0, 0.4758451904505689
490.0, 0.4823767037390478
491.0, 0.4891897503929922
492.0, 0.49626201336379844
493.0, 0.5035728900563611
494.0, 0.511103366048683
495.0, 0.518835897501283
496.0, 0.5267543017274195
497.0, 0.5348436554190005
498.0, 0.5430902000469222
499.0, 0.551481253978365
500.0, 0.5600051308770025
501.0, 0.5700018978612371
502.0, 0.5799984068011654
503.0, 0.5899946422995236
504.0, 0.5999905883599543
505.0, 0.609986228377694
506.0, 0.6199815451305103
507.0, 0.6299765207698843
508.0, 0.6399711368124458
509.0, 0.6499653741316653
510.0, 0.6599592129498125
511.0, 0.6699526328301558
512.0, 0.6799456126694472
513.0, 0.6899381306906615
514.0, 0.6999301644360009
515.0, 0.7099216907601753
516.0, 0.7199126858239475
517.0, 0.7299031250879503
518.0, 0.7398929833067768
519.0, 0.7498822345233396
520.0, 0.7598708520635108
521.0, 0.7698588085310218
522.0, 0.77984607580265
523.0, 0.7898326250236712
524.0, 0.7998184266035826
525.0, 0.8098034502121042
526.0, 0.8197876647754472
527.0, 0.8297710384728526
528.0, 0.8397535387334055
529.0, 0.8497351322331086
530.0, 0.8597157848922311
531.0, 0.8696954618729181
532.0, 0.8796741275770694
533.0, 0.8896517456444764
534.0, 0.8996282789512201
535.0, 0.9096036896083384
536.0, 0.9195779389607304
537.0, 0.9295509875863388
538.0, 0.9395227952955663
539.0, 0.9494933211309575
540.0, 0.9594625233671178
541.0, 0.9694303595108857
542.0, 0.9793967863017435
543.0, 0.9893617597124749
544.0, 0.9993252349500543
545.0, 1.009287166456775
546.0, 1.0192475079116095
547.0, 1.0292062122318002
548.0, 1.0391632315746786
549.0, 1.0491185173397006
550.0, 1.0590720201707162
